# This classification file describes 16 water district boundaries and the
# style for each one.
value,color,opacity,fillColor,fillOpacity,weight,label
64,#b30000,1.0,#b30000,0.3,1.5,South Platte - Balzac to Stateline
7,#ff6600,1.0,#ff6600,1.0,1.5,Clear Creek
65,#ffb366,1.0,#ffb366,0.3,1.5,Arikaree River
49,#ffff00,1.0,#ffff00,0.3,1.5,Republican River
1,#59b300,1.0,#59b300,0.3,1.5,South Platte - Greeley to Balzac
48,#33cc33,1.0,#33cc33,0.3,1.5,Laramie River
76,#b3ff66,1.0,#b3ff66,0.3,1.5,Sand Creek
8,#00ffff,1.0,#00ffff,0.3,1.5,South Platte - Cheesman to Denver Gage
3,#66a3ff,1.0,#66a3ff,0.3,1.5,Cache La Poudre River
9,#003cb3,1.0,#003cb3,1.0,1.5,Bear Creek
4,#3400b3,1.0,#3400b3,0.3,1.5,Big Thompson River
80,#6a00b3,1.0,#6a00b3,0.3,1.5,North Fork of South Platte
2,#9b00b3,1.0,#9b00b3,0.3,1.5,South Platte - Denver Gage to Greeley
23,#b30092,1.0,#b30092,0.3,1.5,Upper South Platte
5,#b30062,1.0,#b30062,1.0,1.5,St. Vrain Creek
6,#b30029,1.0,#b30029,1.0,1.5,Boulder Creek
