BNDSS_ID,Provider,Year,Population,WaterUse_AFY,GPCD,Basin,County,CountyFraction,County2,County2Fraction,County3,County3Fraction
DenverWater,Denver Water,2000,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2001,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2002,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2003,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2004,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2005,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2006,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2007,500000,211000,376.73,Metro,Denver,1,,,,
DenverWater,Denver Water,2008,1154000,211000,163.23,Metro,Denver,1,,,,
DenverWater,Denver Water,2009,1154000,211000,163.23,Metro,Denver,1,,,,
DenverWater,Denver Water,2010,1154000,211000,163.23,Metro,Denver,1,,,,
DenverWater,Denver Water,2011,1154000,211000,163.23,Metro,Denver,1,,,,
DenverWater,Denver Water,2012,1154000,211000,163.23,Metro,Denver,1,,,,
DenverWater,Denver Water,2013,1161000,176315,135.57,Metro,Denver,1,,,,
DenverWater,Denver Water,2014,1172000,177563,135.25,Metro,Denver,1,,,,
DenverWater,Denver Water,2015,1210000,174829,128.99,Metro,Denver,1,,,,
Aurora,City of Aurora,2000,275936,50885,164.63,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2001,275936,50885,164.63,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2002,275936,50885,164.63,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2003,275936,50885,164.63,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2004,275936,50885,164.63,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2005,303833,50885,149.51,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2006,303833,52708,154.87,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2007,306908,52708,153.32,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2008,313144,48201,137.42,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2009,313144,48201,137.42,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2010,313144,48201,137.42,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2011,313144,48201,137.42,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2012,313144,48201,137.42,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2013,351200,44843,113.99,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2014,351200,44845,113.99,Metro,Arapahoe,1,Adams,1,,
Aurora,City of Aurora,2015,351200,46576,118.39,Metro,Arapahoe,1,Adams,1,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2000,23529,7036,266.96,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2001,25314,7340,258.86,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2002,27649,7612,245.78,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2003,30377,6227,183,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2004,33138,6227,167.75,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2005,35640,6227,155.98,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2006,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2007,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2008,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2009,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2010,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2011,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2012,44400,10750,216.15,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2013,41916,9205,196.05,South Platte,Larimer,1,,,,
FCLWD,Fort Collins-Loveland Water District (FCLWD),2014,43159,8728,180.54,South Platte,Larimer,1,,,,
