# Category classification table for Municipality raster.
# - the value corresponds to raster data value
# - set colors so that adjacent municipalities have different colors
#value,cityname,color,opacity,fillColor,fillOpacity,weight,label
value,label,color,opacity,fillColor,fillOpacity,weight,label
1,None,#000000,1.0,#000000,0.3,2
2,Acres Green CDP,#6a00b3,1.0,#6a00b3,0.3,2
3,Aetna Estates CDP,#6a00b3,1.0,#6a00b3,0.3,2
4,Air Force Academy CDP,#6a00b3,1.0,#6a00b3,0.3,2
5,Akron,#6a00b3,1.0,#6a00b3,0.3,2
6,Altona CDP,#6a00b3,1.0,#6a00b3,0.3,2
7,Applewood CDP,#6a00b3,1.0,#6a00b3,0.3,2
8,Aristocrat Ranchettes CDP,#6a00b3,1.0,#6a00b3,0.3,2
9,Arriba,#6a00b3,1.0,#6a00b3,0.3,2
10,Arvada,#6a00b3,1.0,#6a00b3,0.3,2
11,Atwood CDP,#6a00b3,1.0,#6a00b3,0.3,2
12,Ault,#6a00b3,1.0,#6a00b3,0.3,2
13,Aurora,#6a00b3,1.0,#6a00b3,0.3,2
14,Avondale CDP,#6a00b3,1.0,#6a00b3,0.3,2
15,Bennett,#6a00b3,1.0,#6a00b3,0.3,2
16,Berkley CDP,#6a00b3,1.0,#6a00b3,0.3,2
17,Berthoud,#6a00b3,1.0,#6a00b3,0.3,2
18,Black Forest CDP,#6a00b3,1.0,#6a00b3,0.3,2
19,Blende CDP,#6a00b3,1.0,#6a00b3,0.3,2
20,Blue Sky CDP,#6a00b3,1.0,#6a00b3,0.3,2
21,Boone,#6a00b3,1.0,#6a00b3,0.3,2
22,Boulder,#6a00b3,1.0,#6a00b3,0.3,2
23,Bow Mar,#6a00b3,1.0,#6a00b3,0.3,2
24,Brick Center CDP,#6a00b3,1.0,#6a00b3,0.3,2
25,Brighton,#6a00b3,1.0,#6a00b3,0.3,2
26,Brookside,#6a00b3,1.0,#6a00b3,0.3,2
27,Broomfield,#6a00b3,1.0,#6a00b3,0.3,2
28,Brush,#6a00b3,1.0,#6a00b3,0.3,2
29,Byers CDP,#6a00b3,1.0,#6a00b3,0.3,2
30,Calhan,#6a00b3,1.0,#6a00b3,0.3,2
31,Canon City,#6a00b3,1.0,#6a00b3,0.3,2
32,Canon City city,#6a00b3,1.0,#6a00b3,0.3,2
33,Castle Pines,#6a00b3,1.0,#6a00b3,0.3,2
34,Castle Pines Village CDP,#6a00b3,1.0,#6a00b3,0.3,2
35,Castle Rock,#6a00b3,1.0,#6a00b3,0.3,2
36,Centennial,#6a00b3,1.0,#6a00b3,0.3,2
37,Cheraw,#6a00b3,1.0,#6a00b3,0.3,2
38,Cherry Creek CDP,#6a00b3,1.0,#6a00b3,0.3,2
39,Cherry Hills Village,#6a00b3,1.0,#6a00b3,0.3,2
40,Cimarron Hills CDP,#6a00b3,1.0,#6a00b3,0.3,2
41,Coal Creek,#6a00b3,1.0,#6a00b3,0.3,2
42,Colorado City CDP,#6a00b3,1.0,#6a00b3,0.3,2
43,Colorado Springs,#6a00b3,1.0,#6a00b3,0.3,2
44,Columbine CDP,#6a00b3,1.0,#6a00b3,0.3,2
45,Columbine Valley,#6a00b3,1.0,#6a00b3,0.3,2
46,Comanche Creek CDP,#6a00b3,1.0,#6a00b3,0.3,2
47,Commerce City,#6a00b3,1.0,#6a00b3,0.3,2
48,Crowley,#6a00b3,1.0,#6a00b3,0.3,2
49,Dacono,#6a00b3,1.0,#6a00b3,0.3,2
50,Dakota Ridge CDP,#6a00b3,1.0,#6a00b3,0.3,2
51,Deer Trail,#6a00b3,1.0,#6a00b3,0.3,2
52,Denver,#6a00b3,1.0,#6a00b3,0.3,2
53,Derby CDP,#6a00b3,1.0,#6a00b3,0.3,2
54,Dove Valley CDP,#6a00b3,1.0,#6a00b3,0.3,2
55,East Pleasant View CDP,#6a00b3,1.0,#6a00b3,0.3,2
56,Eaton,#6a00b3,1.0,#6a00b3,0.3,2
57,Edgewater,#6a00b3,1.0,#6a00b3,0.3,2
58,Elbert CDP,#6a00b3,1.0,#6a00b3,0.3,2
59,Eldorado Springs CDP,#6a00b3,1.0,#6a00b3,0.3,2
60,Elizabeth,#6a00b3,1.0,#6a00b3,0.3,2
61,Ellicott CDP,#6a00b3,1.0,#6a00b3,0.3,2
62,Englewood,#6a00b3,1.0,#6a00b3,0.3,2
