year,population
1997,166839.0000
1998,172393.0000
1999,177733.5000
2000,183074.0000
2001,191024.5000
2002,198975.0000
2003,206522.0000
2004,214069.0000
2005,222676.0000
2006,231283.0000
2007,236709.3333
2008,242135.6667
2009,247562.0000
2010,252988.3333
2011,258414.6667
2012,263841.0000
2013,271959.8000
2014,280078.6000
2015,288197.4000
2016,296316.2000
2017,304435.0000
2018,314832.6667
2019,325230.3333
2020,335628.0000
2021,346025.6667
2022,356423.3333
2023,366821.0000
2024,379013.0000
2025,391307.0000
2026,403718.0000
2027,416143.7500
2028,428569.5000
2029,440995.2500
2030,453421.0000
2031,466123.7778
2032,478826.5556
2033,491529.3333
2034,504232.1111
2035,516934.8889
2036,529637.6667
2037,542340.4444
2038,555043.2222
2039,567746.0000
2040,580632.3750
2041,593518.7500
2042,606405.1250
2043,619291.5000
2044,632177.8750
2045,645064.2500
2046,657950.6250
2047,670837.0000
2048,683853.5000
2049,696870.0000
